	0	1	2	3	4	5	6	7	8	9	10	11	12	13	opinion_integer	comment_clean
1313	-	False	157241	2020_12_21	75	SPÖ	Abgeordnete Mag. Dr. Sonja Hammerschmid (SPÖ)	False	Dieser Lockdown jetzt ist hausgemacht und ist schlichtweg ein Versagen.	False	True	False	False	False	0	Dieser Lockdown jetzt ist hausgemacht und ist schlichtweg ein Versagen.
2610	+	False	174669	2021_02_24	85	ÖVP	Abgeordnete Mag. Elisabeth Scheucher-Pichler (ÖVP)	True	Wichtig ist auch – ich betone es jetzt, weil es noch nicht gesagt wurde –, dass Testungen und Impfungen auch durch Hausärzte in der Folge kostenfrei möglich werden.	False	False	True	True	False	2	Wichtig ist auch – ich betone es jetzt, weil es noch nicht gesagt wurde –, dass Testungen und Impfungen auch durch Hausärzte in der Folge kostenfrei möglich werden.
4698	-	False	168448	2021_02_04	81	FPÖ	Abgeordnete Dr. Susanne Fürst (FPÖ)	False	Kommen Sie aber nicht mit den aussagelosen PCR-Tests daher, sondern: Wenn es eine erhöhte Verbreitung gibt, wo sind dann die Kranken, die Menschen mit schweren Verläufen, die im Krankenhaus sind und die das Gesundheitssystem zum Zusammenbrechen bringen?	False	False	False	True	False	0	Kommen Sie aber nicht mit den aussagelosen PCR-Tests daher, sondern: Wenn es eine erhöhte Verbreitung gibt, wo sind dann die Kranken, die Menschen mit schweren Verläufen, die im Krankenhaus sind und die das Gesundheitssystem zum Zusammenbrechen bringen?
2029	+	True	152077	2020_12_11	71	ÖVP	Abgeordneter August Wöginger (ÖVP)	True	Abschließend, meine Damen und Herren, sei mir im Zusammenhang mit den Testungen eine Bitte gestattet. In diesem Abänderungsantrag werden ja erste, vorbereitende Maß­nahmen für das Impfen getroffen. Ich möchte von dieser Stelle aus appellieren, dass sich die Bevölkerung an den Testungen beteiligt, die jetzt in etlichen Bundesländern starten, weil das ein großes Ausmaß an Sicherheit mit sich bringt und weil man dadurch Infektionsketten unterbrechen und damit auch viel Leid verhindern kann.	False	False	True	False	False	2	Abschließend, meine Damen und Herren, sei mir im Zusammenhang mit den Testungen eine Bitte gestattet. In diesem Abänderungsantrag werden ja erste, vorbereitende Maß­nahmen für das Impfen getroffen. Ich möchte von dieser Stelle aus appellieren, dass sich die Bevölkerung an den Testungen beteiligt, die jetzt in etlichen Bundesländern starten, weil das ein großes Ausmaß an Sicherheit mit sich bringt und weil man dadurch Infektionsketten unterbrechen und damit auch viel Leid verhindern kann.
1274	o	True	162632	2021_01_20	79	ÖVP	Abgeordneter August Wöginger (ÖVP)	True	Wir haben den Lehrlingsbonus eingeführt. Wir haben eine Sonderbetreuungszeit eingeführt, weil es notwendig ist, vor allem auch den Eltern die Möglichkeit zu geben, während der Lockdownphase die Kinder zu betreuen. Wir haben zweimal eine Einmalzahlung für Arbeitslose umgesetzt.	False	True	False	False	False	1	Wir haben den Lehrlingsbonus eingeführt. Wir haben eine Sonderbetreuungszeit eingeführt, weil es notwendig ist, vor allem auch den Eltern die Möglichkeit zu geben, während der Lockdownphase die Kinder zu betreuen. Wir haben zweimal eine Einmalzahlung für Arbeitslose umgesetzt.
4597	o	True	105584	2020_09_23	51	SPÖ	Abgeordneter Dr. Christoph Matznetter (SPÖ)	False	Wien soll anders werden? Soll Wien die Teststraßen zusperren? Soll Wien, statt eine neue Teststraße aufzumachen, die andere zusperren, damit es niedrige Zahlen gibt wie in anderen Ländern?	False	False	False	True	False	1	Wien soll anders werden? Soll Wien die Teststraßen zusperren? Soll Wien, statt eine neue Teststraße aufzumachen, die andere zusperren, damit es niedrige Zahlen gibt wie in anderen Ländern?
287	+	False	159646	2021_01_13	76	SPÖ	Abgeordneter Andreas Kollross (SPÖ)	False	Und wann kriegen alle anderen älteren Menschen in diesem Land ihre FFP2-Masken?	True	False	False	False	False	2	Und wann kriegen alle anderen älteren Menschen in diesem Land ihre FFP2-Masken?
573	-	False	105409	2020_09_23	51	SPÖ	Abgeordnete Gabriele Heinisch-Hosek (SPÖ)	False	Der an­strengende Job im Supermarkt wird durch das Tragen der Maske noch anstrengender.	True	False	False	False	False	0	Der an­strengende Job im Supermarkt wird durch das Tragen der Maske noch anstrengender.
1080	-	False	200272	2021_05_03	101	FPÖ	Abgeordnete Dr. Susanne Fürst (FPÖ)	False	Er stellt dazu fest, er begründet dies damit, dass die Freiheit und die Grundrechte der Einzelnen auf Dauer beschränkt werden, dass die Privatsphäre der Menschen nachhaltig geschädigt wird und dass auf der Grundlage dieses Impfnachweises zwei Klassen von Bürgern entstehen, nämlich die Geimpften und die Nichtgeimpften.	False	False	True	False	False	0	Er stellt dazu fest, er begründet dies damit, dass die Freiheit und die Grundrechte der Einzelnen auf Dauer beschränkt werden, dass die Privatsphäre der Menschen nachhaltig geschädigt wird und dass auf der Grundlage dieses Impfnachweises zwei Klassen von Bürgern entstehen, nämlich die Geimpften und die Nichtgeimpften.
1056	+	False	159454	2021_01_13	76	ÖVP	Abgeordnete Gabriela Schwarz (ÖVP)	True	Wir warten auf die sukzessive Lieferung der Impfstoffe, und ich bin überzeugt davon, dass alle unsere Bundesländer und auch die Gemeinden hervorragende Arbeit leisten.	False	False	True	False	False	2	Wir warten auf die sukzessive Lieferung der Impfstoffe, und ich bin überzeugt davon, dass alle unsere Bundesländer und auch die Gemeinden hervorragende Arbeit leisten.
5007	+	False	156905	2020_12_21	75	ÖVP	Abgeordneter August Wöginger (ÖVP)	True	Darum geht es, denn diese Testungen geben Sicherheit.	False	False	False	True	False	2	Darum geht es, denn diese Testungen geben Sicherheit.
1015	+	True	151821	2020_12_11	71	ÖVP	Abgeordneter Dr. Werner Saxinger, MSc (ÖVP)	True	Wir können uns da aber auf die Europäische Arzneimittelbehörde verlassen. Ich möchte noch gerne zum Thema Nebenwirkungen Folgendes sagen, weil das immer wieder vermischt wird: Man muss bei den Nebenwirkungen zwischen Impfreaktionen und -komplikationen unterscheiden. Die Reaktionen können bei allen Impfungen auftre­ten.	False	False	True	False	False	2	Wir können uns da aber auf die Europäische Arzneimittelbehörde verlassen. Ich möchte noch gerne zum Thema Nebenwirkungen Folgendes sagen, weil das immer wieder vermischt wird: Man muss bei den Nebenwirkungen zwischen Impfreaktionen und -komplikationen unterscheiden. Die Reaktionen können bei allen Impfungen auftre­ten.
459	+	False	105502	2020_09_23	51	ÖVP	Abgeordneter Dr. Werner Saxinger, MSc (ÖVP)	True	Also Maske auf und mittun!	True	False	False	False	False	2	Also Maske auf und mittun!
1813	+	True	177676	2021_03_24	89	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	Zu Jahresbeginn hat dann das österreichische Gesundheitswesen mit der österreichischen Gemütlichkeit den Impfstart ein bisschen verschleppt und dann sind wieder Sie auf den Plan getreten und haben gesagt: Das muss schneller gehen! – Da frage ich mich: Wo waren Sie in der Zwischenzeit , dass Sie als Regierungschef gar nicht mitbekommen haben, wie eigentlich der Zeitplan fürs Impfen ausschaut, dass Ihnen das irgendwann im Jänner aufgefallen ist: Hm, warum wird da nicht geimpft? Und jetzt treten Sie wieder auf den Plan und erklären breitbeinig, dass Sie die Verträge mit den Impfstoffherstellern nicht gekannt hätten.	False	False	True	False	False	2	Zu Jahresbeginn hat dann das österreichische Gesundheitswesen mit der österreichischen Gemütlichkeit den Impfstart ein bisschen verschleppt und dann sind wieder Sie auf den Plan getreten und haben gesagt: Das muss schneller gehen! – Da frage ich mich: Wo waren Sie in der Zwischenzeit , dass Sie als Regierungschef gar nicht mitbekommen haben, wie eigentlich der Zeitplan fürs Impfen ausschaut, dass Ihnen das irgendwann im Jänner aufgefallen ist: Hm, warum wird da nicht geimpft? Und jetzt treten Sie wieder auf den Plan und erklären breitbeinig, dass Sie die Verträge mit den Impfstoffherstellern nicht gekannt hätten.
970	+	True	187671	2021_03_25	91	SPÖ	Abgeordneter Robert Laimer (SPÖ)	False	– Das war noch die Zeit, als Österreich Testriese war; mittlerweile sind wir zum Impfzwerg und EU-Außenseiter mutiert. Meine Damen und Herren, bei den Impfbeschaffungskosten wurde von der ÖVP der Deckel mit 200 Millionen Euro fixiert. Das EU-Kontingent der so wichtigen Impfstoffe für die Bevölkerung wurde nicht zur Gänze abgeholt.	False	False	True	False	False	2	– Das war noch die Zeit, als Österreich Testriese war; mittlerweile sind wir zum Impfzwerg und EU-Außenseiter mutiert. Meine Damen und Herren, bei den Impfbeschaffungskosten wurde von der ÖVP der Deckel mit 200 Millionen Euro fixiert. Das EU-Kontingent der so wichtigen Impfstoffe für die Bevölkerung wurde nicht zur Gänze abgeholt.
2932	-	True	200528	2021_05_03	101	SPÖ	Abgeordneter Philip Kucher (SPÖ)	False	Deswegen philosophieren wir heute über den grünen Pass, obwohl hinten und vorne nichts daliegt. Dann stellt sich Sebastian Kurz hin und sagt: Der grüne Pass, das sind die Zettel, die jeder von uns kriegt, wenn er getestet wird, oder der Impfausweis; das ist die erste Phase des grünen Passes. – Ja, ist das ein Komiker oder ist das der Bundeskanzler?	False	False	True	True	False	0	Deswegen philosophieren wir heute über den grünen Pass, obwohl hinten und vorne nichts daliegt. Dann stellt sich Sebastian Kurz hin und sagt: Der grüne Pass, das sind die Zettel, die jeder von uns kriegt, wenn er getestet wird, oder der Impfausweis; das ist die erste Phase des grünen Passes. – Ja, ist das ein Komiker oder ist das der Bundeskanzler?
4468	+	True	161773	2021_01_14	77	NEOS	Abgeordneter Dr. Nikolaus Scherak, MA (NEOS)	False	Wir haben vor ungefähr einer knappen Stunde den Abänderungsan­trag dazu bekommen, der einigermaßen komplex ist, und es ist fraglich, ob man sich das in der kurzen Zeit so durchlesen kann, dass man auch sicher weiß, was da drinnen steht. Damit machen Sie es uns in der ganzen Sache halt nicht einfacher, und ich verstehe es gerade in diesem Zusammenhang nicht, weil die Frage nach einer sinnvollen Teststra­tegie ja etwas ist, was zumindest vier Fraktionen hier in diesem Haus eint. Ich verstehe nicht, wieso man da nicht gemeinsam sinnvolle Lösungen zustande bringt, und das auch mit einem sinnvollen Zeitplan, denn man muss sich ja zurückerinnern, was Sie ursprüng­lich vorgeschlagen haben.	False	False	False	True	False	2	Wir haben vor ungefähr einer knappen Stunde den Abänderungsan­trag dazu bekommen, der einigermaßen komplex ist, und es ist fraglich, ob man sich das in der kurzen Zeit so durchlesen kann, dass man auch sicher weiß, was da drinnen steht. Damit machen Sie es uns in der ganzen Sache halt nicht einfacher, und ich verstehe es gerade in diesem Zusammenhang nicht, weil die Frage nach einer sinnvollen Teststra­tegie ja etwas ist, was zumindest vier Fraktionen hier in diesem Haus eint. Ich verstehe nicht, wieso man da nicht gemeinsam sinnvolle Lösungen zustande bringt, und das auch mit einem sinnvollen Zeitplan, denn man muss sich ja zurückerinnern, was Sie ursprüng­lich vorgeschlagen haben.
996	+	False	159717	2021_01_13	76	ÖVP	Abgeordneter Dr. Josef Smolle (ÖVP)	True	– Mittlerweile sind weltweit schon fast 30 Millionen Menschen geimpft worden  – glücklicherweise 57 000 davon in Österreich –, sodass man sagen kann, die Erfahrung wird immer breiter.	False	False	True	False	False	2	– Mittlerweile sind weltweit schon fast 30 Millionen Menschen geimpft worden  – glücklicherweise 57 000 davon in Österreich –, sodass man sagen kann, die Erfahrung wird immer breiter.
1812	o	True	191332	2021_03_26	93	Grüne	Abgeordneter Mag. Dr. Jakob Schwarz, BA (Grüne)	True	Die Budgethoheit hat ein gewisses Haus, das wir alle gut kennen, nämlich dieses hier: der Nationalrat. Wenn man das Gefühl gehabt hätte, man bräuchte mehr Geld für Impfungen, dann wäre es so gewesen: Man geht zum Finanzminister und macht eine Mittelverwendungsüberschreitung. Genauso haben wir das Ganze aufgestellt, insbesondere im 2020er-Budget, aber auch im 2021er-Budget.	False	False	True	False	False	1	Die Budgethoheit hat ein gewisses Haus, das wir alle gut kennen, nämlich dieses hier: der Nationalrat. Wenn man das Gefühl gehabt hätte, man bräuchte mehr Geld für Impfungen, dann wäre es so gewesen: Man geht zum Finanzminister und macht eine Mittelverwendungsüberschreitung. Genauso haben wir das Ganze aufgestellt, insbesondere im 2020er-Budget, aber auch im 2021er-Budget.
458	+	True	49534	2020_05_13	30	SPÖ	Abgeordneter Dr. Christoph Matznetter (SPÖ)	False	Bei diesem Thema jetzt muss ich mich nicht so aufregen wie bei dem zuvor behandelten. Ich darf gleich vorweg ankündigen: Wir sind froh über jeden Akt der Solidarität innerhalb der Europäischen Union und werden daher auch diesen Antrag – Sie haben Ihre Maske vergessen, Herr Kollege  –, über den ESM sehr bescheidene Mittel als Finanzierungshilfe für krisen­gebeutelte Mitgliedstaaten im Euroraum möglich zu machen, unterstützen. Wir zeigen diese europäische Solidarität nicht zum Selbstzweck und wir tun das auch nicht, weil es sich gehört – obwohl es sich auch gehört –, sondern wir tun es, weil wir eine kleine exportorientierte Volkswirtschaft sind, die vom Export, von der Dienst­leis­tung, zum Beispiel im Tourismus, lebt.	True	False	False	False	False	2	Bei diesem Thema jetzt muss ich mich nicht so aufregen wie bei dem zuvor behandelten. Ich darf gleich vorweg ankündigen: Wir sind froh über jeden Akt der Solidarität innerhalb der Europäischen Union und werden daher auch diesen Antrag – Sie haben Ihre Maske vergessen, Herr Kollege  –, über den ESM sehr bescheidene Mittel als Finanzierungshilfe für krisen­gebeutelte Mitgliedstaaten im Euroraum möglich zu machen, unterstützen. Wir zeigen diese europäische Solidarität nicht zum Selbstzweck und wir tun das auch nicht, weil es sich gehört – obwohl es sich auch gehört –, sondern wir tun es, weil wir eine kleine exportorientierte Volkswirtschaft sind, die vom Export, von der Dienst­leis­tung, zum Beispiel im Tourismus, lebt.
4285	-	True	156540	2020_12_21	75	SPÖ	Abgeordneter Philip Kucher (SPÖ)	False	Das ist den Menschen gegenüber, die stark betroffen sind, eine unwürdige Erzählung. Sebastian Kurz – ich sage es dir jetzt ganz offen, bei allem persönlichen Einsatz –, du hast gesagt, wir müssen bei den Testungen auf indirekten Zwang setzen, es ist not­wendig, es ist der Ausweg, der geblieben ist. Ich frage jetzt ganz ehrlich – mitten in der Krise ist das für mich eigentlich dramatisch –: Was ist denn passiert, dass du persönlich das Vertrauen verloren hast, dass du nicht mehr in der Lage bist, die Menschen mitzunehmen, zu überzeugen?	False	False	False	True	False	0	Das ist den Menschen gegenüber, die stark betroffen sind, eine unwürdige Erzählung. Sebastian Kurz – ich sage es dir jetzt ganz offen, bei allem persönlichen Einsatz –, du hast gesagt, wir müssen bei den Testungen auf indirekten Zwang setzen, es ist not­wendig, es ist der Ausweg, der geblieben ist. Ich frage jetzt ganz ehrlich – mitten in der Krise ist das für mich eigentlich dramatisch –: Was ist denn passiert, dass du persönlich das Vertrauen verloren hast, dass du nicht mehr in der Lage bist, die Menschen mitzunehmen, zu überzeugen?
619	+	True	48186	2020_05_13	30	ÖVP	Abgeordneter August Wöginger (ÖVP)	True	Warum man das beeinsprucht, das verstehe, wer will; ich kann es nicht verstehen. Das Letzte, was hier auch beeinsprucht wurde, ist ein Finanzpaket, bei dem es um die Umsatzsteuerbefreiung von Masken geht. Das sind Dinge, die sich jetzt immer mehr von der Realität entfernen, was uns SPÖ und FPÖ hier liefern.	True	False	False	False	False	2	Warum man das beeinsprucht, das verstehe, wer will; ich kann es nicht verstehen. Das Letzte, was hier auch beeinsprucht wurde, ist ein Finanzpaket, bei dem es um die Umsatzsteuerbefreiung von Masken geht. Das sind Dinge, die sich jetzt immer mehr von der Realität entfernen, was uns SPÖ und FPÖ hier liefern.
3101	+	True	168486	2021_02_04	81	ÖVP	Abgeordneter Karl Mahrer (ÖVP)	True	Sie wissen es ganz genau: Die Landespolizeidirektion Wien hat es sich nicht einfach gemacht. Sie hat den Gesundheitsdienst der Stadt Wien miteinbezogen, und dieser hat gesagt: Ja, es ist aufgrund der jüngsten Erfahrungen davon auszugehen, dass der Mund-Nasen-Schutz von vielen Teilnehmern nicht getragen werden wird und dass die Abstandsregeln gar nicht eingehalten werden können. Der Gesundheitsdienst, Herr Klubobmann und sehr geehrte Abgeordnete, kam daher zu dem Schluss, dass die Durchführung einer derartigen Veranstaltung das öffentliche Wohl gefährden würde.	True	False	False	False	True	2	Sie wissen es ganz genau: Die Landespolizeidirektion Wien hat es sich nicht einfach gemacht. Sie hat den Gesundheitsdienst der Stadt Wien miteinbezogen, und dieser hat gesagt: Ja, es ist aufgrund der jüngsten Erfahrungen davon auszugehen, dass der Mund-Nasen-Schutz von vielen Teilnehmern nicht getragen werden wird und dass die Abstandsregeln gar nicht eingehalten werden können. Der Gesundheitsdienst, Herr Klubobmann und sehr geehrte Abgeordnete, kam daher zu dem Schluss, dass die Durchführung einer derartigen Veranstaltung das öffentliche Wohl gefährden würde.
1788	+	False	45090	2020_04_28	27	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	Man müsste die Elga GmbH jetzt damit beauftragen, dass sie den elektronischen Impfpass in diese Richtung weiterentwickelt; darauf zielt der Antrag ab.	False	False	True	False	False	2	Man müsste die Elga GmbH jetzt damit beauftragen, dass sie den elektronischen Impfpass in diese Richtung weiterentwickelt; darauf zielt der Antrag ab.
1106	+	False	159588	2021_01_13	76	NEOS	Abgeordnete Mag. Beate Meinl-Reisinger, MES (NEOS)	False	Damit trägt jeder und jede von uns Verantwortung, Herr Kickl, was das Impfen angeht, denn es geht eben nicht nur um Sie, sondern es geht auch um Ihre Mitmenschen und gerade die Risikogruppen, die sich vielleicht gar nicht impfen lassen können.	False	False	True	False	False	2	Damit trägt jeder und jede von uns Verantwortung, Herr Kickl, was das Impfen angeht, denn es geht eben nicht nur um Sie, sondern es geht auch um Ihre Mitmenschen und gerade die Risikogruppen, die sich vielleicht gar nicht impfen lassen können.
4743	+	False	194512	2021_04_21	97	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	Die Labore, die Tests auswerten, sind nicht an Elga angeschlossen – das ist ein gewaltiges Versäumnis.	False	False	False	True	False	2	Die Labore, die Tests auswerten, sind nicht an Elga angeschlossen – das ist ein gewaltiges Versäumnis.
4665	+	False	156601	2020_12_21	75	ÖVP	Abgeordnete Gabriela Schwarz (ÖVP)	True	Ich verstehe eigentlich überhaupt nicht, wie man offenen Auges, ungetestet und nicht wissend, ob man infiziert ist und das Virus weitertragen kann, zu seinen Nächsten gehen kann.	False	False	False	True	False	2	Ich verstehe eigentlich überhaupt nicht, wie man offenen Auges, ungetestet und nicht wissend, ob man infiziert ist und das Virus weitertragen kann, zu seinen Nächsten gehen kann.
360	-	False	115391	2020_10_14	55	FPÖ	Abgeordneter Wolfgang Zanger	False	Jeder Wissenschaftler, jeder Arzt, der eine abweichende Meinung zur Maskenpflicht, zu den Testmethoden hat , bekommt von Ihnen einen Maulkorb auferlegt , in Form des Symbols der Maske, und darf nichts mehr sagen.	True	False	False	False	False	0	Jeder Wissenschaftler, jeder Arzt, der eine abweichende Meinung zur Maskenpflicht, zu den Testmethoden hat , bekommt von Ihnen einen Maulkorb auferlegt , in Form des Symbols der Maske, und darf nichts mehr sagen.
3086	+	False	156597	2020_12_21	75	ÖVP	Abgeordnete Gabriela Schwarz (ÖVP)	True	Jeder und jede von uns kann etwas dazu beitragen, indem wir Mund-Nasen-Schutz tragen, Abstand halten, auch wenn es jedem von uns wirklich schwerfällt – gerade jetzt vor Weihnachten.	False	False	False	False	True	2	Jeder und jede von uns kann etwas dazu beitragen, indem wir Mund-Nasen-Schutz tragen, Abstand halten, auch wenn es jedem von uns wirklich schwerfällt – gerade jetzt vor Weihnachten.
