sentence sentiment	Spricht über eine fremde Meinung (innerhalb des Parlaments). Speaks about somebody else’s opinion (of speakers of the parliament or political parties. Does not include opinions of external sources, e.g. experts)	Spricht sich explizit für/gegen einen Lockdown aus	Spricht sich explizit positiv/negativ über die Auswirkungen eines Lockdowns aus	Spricht sich positiv/negativ über die Gestaltung/Umsetzung/Organisation eines Lockdowns aus (wenn es um Vorschläge geht ist das mit einem s gekennzeichnet (suggestion))	Subjective Judgement of Overall Opinion (for/against) Lockdown	Subjective Overall Opinion for/against Lockdown (aggressive judgement)							
+	x	x	x	+s	o	o	37880	2020_04_22	24	NEOS	Abgeordneter Dr. Helmut Brandstätter (NEOS)	False	Regelmäßige begleitende Datenerhebungen in dieser Phase des Lockdowns, in der Lehrpersonal und Studierende auf digitales Unterrichten und Lernen absolut ange­wiesen sind, können einen wesentlichen Beitrag für eine effiziente Digitalisierung der Lehre an den Hochschulen in der Zukunft leisten.
+	#	x	#o	x	o	+	38138	2020_04_22	24	ÖVP	Abgeordneter August Wöginger (ÖVP)	True	Zum Zweiten möchte ich noch kurz anmerken, weil hier gerade von der FPÖ ständig behauptet wird  – die Wirtschaftskammer hat da sehr viel geleistet, lieber Kollege Loacker  –, es gebe Auswirkungen der Coronakrise dadurch, dass diese Maßnahmen gesetzt wurden – es ist mir wirklich wichtig, das jetzt zu erwähnen –: Am 13. März hat es eine Pressekonferenz von Klubobmann Kickl und Frau Kollegin Belakowitsch gegeben, bei der der „Lockdown“ gefordert wurde.
-	#	#+	x	x	o	+	38139	2020_04_22	24	ÖVP	Abgeordneter August Wöginger (ÖVP)	True	Es wurde der „Lockdown“ für Österreich gefor­dert, damit man endlich mit der Salamitaktik aufhört, die Regierung solle viel schneller handeln, und man müsse der österreichischen Bevölkerung „reinen Wein einschenken“ und die Wahrheit sprechen.
o	x	x	x	x	o	o	39180	2020_04_22	24	Grüne	Abgeordnete Mag. Nina Tomaselli (Grüne)	True	Seit 16.3.2020 befindet sich Österreich im Lock-Down.
-	#	#+	#-	x	o	-	42515	2020_04_28	27	ÖVP	Abgeordneter August Wöginger (ÖVP)	True	Am 13. März setzt du dich mit Kickl hin und sagst: Lockdown, alles nieder!
o	##	##+	x	x	o	-	42564	2020_04_28	27	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Des Weiteren – ich berichtige weiter tatsächlich – hat Abgeordneter Wöginger in seiner Rede hier behauptet, ich hätte in einer Pressekonferenz gemeinsam mit Klubobmann Kickl behauptet, wir wollen den totalen Lockdown – Punkt.
-	x	+	x	x	+	+	42567	2020_04_28	27	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Wir wollten den totalen Lockdown am Flughafen Wien und die absolute Grenzschließung.
-	#	#+	x	#-	o	+	42674	2020_04_28	27	ÖVP	Abgeordneter Mag. Ernst Gödl (ÖVP)	True	Ich erinnere nochmals eindrücklich daran – das lässt sich im Protokoll nachlesen –, dass sich ein gewisser Herr Klub­obmann Kickl am 20. März hier ans Podium gestellt und die Regierung dafür gegeißelt hat, dass nicht ein sofortiger gesamter Lockdown – und nicht nur die Grenzschließun­gen  – durchgeführt wurde.
-	##	+#+##+	x	-/+s	+	+	43113	2020_04_28	27	FPÖ	Abgeordneter Michael Schnedlitz (FPÖ)	False	– Ich darf vorher Folgendes klarstellen, weil Sie immer sa­gen, Herr Kickl hätte einen Lockdown gefordert und fordere jetzt das Gegenteil: Das ist richtig, Herr Kickl und die Freiheitliche Partei haben einen Lockdown gefordert, aber nicht nur betreffend die Bevölkerung, wie Sie das gemacht haben, sondern vor allem was die Grenzen betrifft, was den Flughafen betrifft und was die schwarzen Freunderl zum Beispiel in Tirol betrifft, während Sie sich allein auf die Bevölkerung verlassen haben.
-	#	#+	x	x	o	+	43261	2020_04_28	27	ÖVP	Abgeordneter Mag. Michael Hammer	True	Ich darf, da den Medien ja oft misstraut wird, für die vier Kollegen der Freiheitlichen Partei, die gerade herinnen sind – es ist ja, wenn es um sachliche Debatten und um soziale Maßnahmen für unse­re Familien geht, anscheinend nicht so üblich, dass man an der Debatte teilnimmt und sich hier einbringt  –, einfach aus der OTS des Freiheitlichen Parlamentsklubs vom 13. März zitieren: „Coronavirus: Kickl für ‚Lock­down‘ Österreichs“.
o	#	#+	x	x	o	o	43263	2020_04_28	27	ÖVP	Abgeordneter Mag. Michael Hammer	True	Daher schlage die FPÖ einen ‚Lockdown‘ vor.
o	#	#+	x	x	o	o	43266	2020_04_28	27	ÖVP	Abgeordneter Mag. Michael Hammer	True	– Das ist das, was die Freiheitlichen am 13. März vorgeschlagen haben: ein Lockdown für Österreich.
o	x	-	x	x	-	-	43973	2020_04_28	27	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	Wir wollen wieder zurück in eine Normalität, wie wir sie vor dem Lockdown kannten und wie wir sie geschätzt haben.
o	x	-	x	x	-	-	43975	2020_04_28	27	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	Wie kommen wir heraus aus dem Lockdown?
+	x	-	x	x	-	-	43993	2020_04_28	27	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	Das ist ein Beitrag dazu, dass wir aus diesem Lockdown herauskommen.
-	x	x	x	-	-	-	44061	2020_04_28	27	FPÖ	Abgeordneter Mag. Gerhard Kaniak (FPÖ)	False	Umso unbegreiflicher, dass Anträge zur Normalisierung, zur Beendigung des Lockdowns im Gesundheitswesen  im Gesund­heitsausschuss wieder abgelehnt worden sind.
o	#	#+	x	x	o	o	44317	2020_04_28	27	FPÖ	Abgeordneter Peter Wurm (FPÖ)	False	Zum Abschluss nur noch einmal ganz kurz zu Italien: Italien hat eine Woche vor Ös­terreich den Lockdown gemacht und hat ihn mit wesentlich strengeren Maßnahmen für die Bevölkerung durchgezogen.
-	x	x	x	x	o	o	44688	2020_04_28	27	SPÖ	Abgeordnete Katharina Kucharowits (SPÖ)	False	Vor sechs Wochen ist unsere Republik in einen Lockdownmodus gegangen.
-	x	x	x	-	o	-	45108	2020_04_28	27	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	Sie haben nämlich die Zeit des Lockdowns nicht genützt, um jetzt die Phase der Öffnung mit Daten substanziell zu begleiten.
-	x	x	-	-	-	-	45685	2020_04_28	27	FPÖ	Abgeordnete Dr. Susanne Fürst (FPÖ)	False	Die Vielfalt der Meinungen wurde jedoch ab Anfang März systematisch weniger, bis letztlich in den Iden des März nicht nur der wirtschaftliche und soziale Shutdown beschlossen worden ist, sondern auch der Lockdown für die Meinungsfreiheit und die Wissenschaftsfreiheit.
-	x	x	-	-	-	-	45689	2020_04_28	27	FPÖ	Abgeordnete Dr. Susanne Fürst (FPÖ)	False	Man durfte auch nicht mehr sagen, dass es vielleicht nicht das Beste ist, nur stur auf die Zahl der Co­ronatoten zu schauen, sondern dass man vielleicht auch an die Opfer des Lockdowns denken muss und dass es da vielleicht zu einer Bilanz kommt, in der wir mehr Tote haben.
-	x	#+	x	x	o	o	45726	2020_04_28	27	ÖVP	Abgeordnete Eva-Maria Himmelbauer, BSc (ÖVP)	True	Die FPÖ hat am 13.3.– man kann das auch online nachlesen – noch einen Lockdown eingefordert, ja, massive Maßnahmen.
o	#	#+	+	x	o	+	48188	2020_05_13	30	ÖVP	Abgeordneter August Wöginger (ÖVP)	True	Am Anfang – und ich möchte das noch einmal betonen – war es so: Kickl hat am 13. März den Lockdown gefordert , Rendi-Wagner hat Ende März von diesem Pult aus gesagt, Mitte April könnte es sein, dass wir die 30 000er-Marke an Infizierten überschreiten, und dann wären die Kapazitäts­grenzen sozusagen erreicht, was die Spitäler und auch die Intensivbetten anbelangt.
-	#	#+	x	#-	o	o	48325	2020_05_13	30	Grüne	Abgeordnete Sigrid Maurer, BA (Grüne)	True	Ich erinnere noch einmal daran, dass Ihnen der Lockdown nicht scharf genug war.
-	x	x	-	x	-	-	49209	2020_05_13	30	FPÖ	Abgeordneter Mag. Gerhard Kaniak (FPÖ)	False	Wir haben hier aber eine unterschiedliche Sicht der Dinge, denn die Gesundheitskrise, die jetzt noch besteht, liegt nicht an der bestehenden Gefahr durch den Coronavirus oder durch die aktuellen Infektionsfälle, sondern die Krise in unserem Gesundheitssystem besteht dadurch, dass wir zwei Monate lang einen Lockdown in unserem Gesundheitssystem gehabt haben, in dem die Österreicher und Österreicherinnen keine reguläre Gesund­heitsversorgung mehr gehabt haben.
-	x	x	-	x	-	-	49210	2020_05_13	30	FPÖ	Abgeordneter Mag. Gerhard Kaniak (FPÖ)	False	Die Folgeschäden, die aus diesen Maßnahmen, aus diesem Lockdown des Gesundheitssystems für die Österreicher und Österreiche­rinnen entstehen, werden um ein Vielfaches höher sein als das, was der Coronavirus angestellt hat, meine sehr geehrten Damen und Herren!
-	x	x	o	x	-	-	49818	2020_05_26	32	SPÖ	Abgeordnete Dr. Pamela Rendi-Wagner, MSc (SPÖ)	False	Corona bestimmt unser Leben, denn die sozialen und vor allem auch die wirtschaftlichen Folgen des Lockdowns sind unübersehbar.
-	x	x	-	x	-	-	50482	2020_05_26	32	SPÖ	Abgeordneter Dr. Christoph Matznetter (SPÖ)	False	Der Antrag hat folgenden Gesamtwortlaut: der Abgeordneten Pamela Rendi-Wagner, Christoph Matznetter Genossinnen und Genossen Eingebracht im Zuge der Debatte zu TOP 1: Bericht des Budgetausschusses über die Regierungsvorlage : Bundesgesetz, mit dem das Ausländerbeschäftigungsge­setz, das Arbeitsmarktpolitik-Finanzierungsgesetz, das Insolvenz-Entgeltsicherungsge­setz, das Bauarbeiter-Schlechtwetterentschädigungsgesetz, das Bauarbeiter-Urlaubs- und Abfertigungsgesetz, das Familienlastenausgleichsgesetz 1967, das Beamten-Dienstrechtsgesetz 1979, das Gehaltsgesetz 1956 und das Umweltförderungsgesetz geändert werden   Betreffend: Österreich braucht das größte Investitions- und Beschäftigungspaket in der Geschichte der zweiten Republik Die Ausgangslage Der Lockdown hat eine soziale und wirtschaftliche Krise ausgelöst, die beispielhaft ist in der zweiten Republik.
-	x	x	x	-	o	-	50595	2020_05_26	32	FPÖ	Abgeordnete Dr. Susanne Fürst (FPÖ)	False	Es wurde wirklich alles in Kauf genommen, um den Lockdown, um die Beschränkungen, die es noch gibt, um die plötzliche neue Machtfülle für die Bundesregierung und die alleinige Meinungshoheit und das Eigenlob fortzusetzen und in die neue Normalität zu retten.
+	x	x	-	x	o	-	51103	2020_05_26	32	FPÖ	Abgeordneter Mag. Gerhard Kaniak (FPÖ)	False	– Es hat sich gezeigt, dass durch Einhalten einfacher Hygienemaßnahmen und die Disziplin der österreichischen Bevölkerung die Infektionsraten schon vor dem Lockdown deutlich zurückgegangen sind.
-	x	x	x	-	o	-	51143	2020_05_26	32	SPÖ	Abgeordneter Maximilian Köllner, MA (SPÖ)	False	Ich habe erst gestern mit einem Fitnessstudiobetreiber aus meiner Region gesprochen, bei dem seit dem Lockdown Mitte März keine Hantel geschwungen wurde und der dennoch erst ein Mal eine kleine Minizahlung erhalten hat; viele haben aber noch nicht einmal irgendet­was bekommen.
-	x	x	-	x	o	-	51369	2020_05_26	32	SPÖ	Abgeordneter Dr. Christoph Matznetter (SPÖ)	False	Er hat den Einnahmenentfall zu Be­ginn des Lockdowns – der war da nämlich – mit der Budgetänderung verwechselt.
+	x	x	x	+	o	+	52821	2020_05_26	32	ÖVP	Bundeskanzler Sebastian Kurz	True	Sehr geehrte Damen und Herren, ich bin froh, dass wir nach der Phase des Lockdowns schneller als andere wieder in die Phase der Öffnung kommen konnten.
+	x	+	+	+	+	+	53682	2020_05_26	32	ÖVP	Abgeordnete Mag. Dr. Maria Theresia Niss, MBA (ÖVP)	True	Dank der Entscheidungsstärke unserer Regierung sind wir rascher als andere in den Lockdown gegangen, und die Folge daraus ist klar: Es gibt weniger Coronainfizierte und vor allem auch weniger Todesfälle.
+	x	x	x	+	o	+	53685	2020_05_26	32	ÖVP	Abgeordnete Mag. Dr. Maria Theresia Niss, MBA (ÖVP)	True	Durch rasche und konsequente Maßnahmen am Anfang sind wir nämlich auch führend dabei, aus dem Lockdown wieder rasch herauszukommen.
-	x	x	x	-	o	-	53852	2020_05_26	32	SPÖ	Abgeordneter Maximilian Lercher (SPÖ)	False	Sie haben vor dem Lockdown, in der wichtigsten Phase, in der die Unsicherheit begonnen hat, der Wirtschaft in Österreich signalisiert: Auf den Staat könnt ihr euch nicht verlas­sen!
+	x	x	-	x	o	-	55123	2020_05_26	32	SPÖ	Abgeordneter Dr. Harald Troch (SPÖ)	False	Nach elf Wochen coronabedingtem Lockdown, Shutdown sind wir jetzt am We­ge der Normalisierung.
-	x	x	x	-	o	-	55145	2020_05_26	32	SPÖ	Abgeordneter Dr. Harald Troch (SPÖ)	False	Wenn alle Leute merken, was da an Angstmacherei, an unnötiger Angstmacherei dahinter war, dann werden auch Ihre Umfragewerte, Herr Bundeskanzler, einen Lockdown erleben, und das ist gut so.
-	x	x	-	x	-	-	55235	2020_05_26	32	SPÖ	Abgeordnete Petra Bayr, MA MLS (SPÖ)	False	Auch österreichische Hilfsorganisationen warnen vor den sozialen und wirtschaftlichen Folgen des Lockdowns für afrikanische Staaten, etwa die Caritas Österreich, die eine humanitäre Katastrophe befürchtet, u.a. durch sie steigenden Preise während einer Pandemie.
+	x	x	x	x	o	o	55348	2020_05_26	32	NEOS	Abgeordneter Dr. Helmut Brandstätter (NEOS)	False	Ich habe mich als Journalist von den Außenstellen immer sehr gut betreut gefühlt; so wie auch bei meiner letzten Reise nach Tirana, die ich noch vor dem Lockdown machen durfte – ich bin dem dortigen Botschafter Steiner sehr dankbar für die Hilfe –, merkt man, dass das Leute sind, die international schon etwas draufhaben.
+	x	x	x	x	o	o	55390	2020_05_26	32	ÖVP	Bundesminister für Europa, Integration und Äußeres Mag. Alexander Schallen­berg, LL.M.	True	Meine sehr geehrten Damen und Herren, in Wirklichkeit gab es für das Außenminis­terium nie einen Lockdown, in Wahrheit sind wir seit Anfang des Jahres konstant im Krisenbewältigungsmodus: zuerst zum Jahreswechsel durch einen massiven Angriff auf die Cyberinfrastruktur des Außenministeriums, den wir dank schnellen Handelns und Erkennens durch große Anstrengungen abwehren konnten.
+	x	x	x	+	o	+	55403	2020_05_26	32	ÖVP	Bundesminister für Europa, Integration und Äußeres Mag. Alexander Schallen­berg, LL.M.	True	Es waren letzten Endes nämlich unsere Botschaften in Lima, Kuala Lumpur, Canberra und Peking, die diese Rückholaktion organisiert haben, die dafür gesorgt haben, dass die Bürger überhaupt ihre Hotels und Quartiere verlassen und zum Flughafen kommen konnten, obwohl vielleicht lokal strengster Lockdown herrschte, die am Höhepunkt der Krise dafür gesorgt haben, dass es Landegenehmigungen und Exportgenehmigungen gab, als es darum ging, dringend benötigtes medizinisches Material nach Österreich zu bringen.
+	x	x	x	+	o	+	58137	2020_05_26	32	ÖVP	Abgeordneter Joachim Schnabel (ÖVP)	True	Dieses Ein-Milliarden-Euro-Paket ermöglicht uns Gemeinden, am Ende des Lock­downs Planungssicherheit zu haben und für die Zukunft zu investieren.
-	x	x	-	x	o	-	60807	2020_05_26	32	ÖVP	Abgeordneter Franz Hörl (ÖVP)	True	Wir werden die 31 Millionen Nächtigungen, die wir im Jahr davor gehabt haben, in diesen Monaten in Österreich nicht mehr aufholen, und der durch diesen Lockdown eingetretene Scha­den liegt bei 2 Milliarden Euro.
-	x	x	-	+	o	-	60932	2020_05_26	32	ÖVP	Abgeordnete MMMag. Gertraud Salzmann (ÖVP)	True	Gerade diese Wochen sind schwierige Zeiten, vor allem auch für die Gastronomie und die Hotellerie, weil der Shutdown, der Lockdown, für diese Branche sehr, sehr einschneidend war, deshalb hat die Bundesregierung da auch sehr beherzt wesentliche Maßnahmen getroffen.
-	x	x	-	-	o	-	62495	2020_05_26	32	ÖVP	Bundesministerin für Frauen und Integration im Bundeskanzleramt MMag. Dr. Su­sanne Raab	True	Ich habe mit meiner italienischen Amtskollegin zu Beginn der Ausgangbeschränkungen gesprochen, und sie hat mir von ihren Erfahrungen berichtet: In Italien hat jeder während des Lockdowns geglaubt, diese Unterstützungseinrichtungen hätten – analog zu ande­ren infrastrukturellen Einrichtungen – nicht mehr offen, und deshalb haben viele Frauen nicht gewusst, an wen sie sich wenden sollen, wenn sie Unterstützung und Hilfe brau­chen.
-	x	x	x	x	o	o	63451	2020_05_26	32	ÖVP	Abgeordnete Dr. Gudrun Kugler (ÖVP)	True	Die Familie hat den Lockdown aufgefangen, und dennoch hat man den Eindruck, dass in der politischen Diskussion die Familie ganz oft in einen negativen Kontext gerückt wird und es heißt: Armutsfalle, Überlastung oder auch Gewalt.
o	x	x	o	x	o	o	63459	2020_05_26	32	ÖVP	Abgeordnete Dr. Gudrun Kugler (ÖVP)	True	Laut den Zahlen, die die Frauenministerin heute genannt hat, gab es vor der Krise im Jänner 936 Fälle und im April, als das ganze Monat Lockdown war, waren es 1 075.
-	x	x	-	x	o	-	63542	2020_05_26	32	SPÖ	Abgeordnete Eva Maria Holzleitner, BSc (SPÖ)	False	Während des Lockdowns waren wirklich auch die Kinderrechte massiv eingeschränkt.
-	x	x	-	x	-	-	64955	2020_05_26	32	FPÖ	Abgeordneter Mag. Gerhard Kaniak (FPÖ)	False	Da rede ich gar nicht von den möglicherweise erforderlichen Kostendeckungen für die Sozialversicherungen oder für die Krankenkassen; da rede ich noch gar nicht von den zusätzlichen Kosten durch den Behandlungsrückstau, der wegen des Lockdown im Ge­sundheitswesen passiert ist; da spreche ich noch gar nicht von den notwendigen Inves­titionsanreizen, damit wir unser Gesundheitssystem so umformen, dass die nächste Krise noch besser bestanden wird; und da rede ich noch gar nicht von den Kosten, die zur Absicherung der Arzneimittelversorgung und der Versorgung mit Medizinprodukten notwendig sind.
-	x	x	-	x	o	-	65177	2020_05_26	32	SPÖ	Abgeordneter Dietmar Keck (SPÖ)	False	Der Antrag hat folgenden Gesamtwortlaut: der Abgeordneten Dietmar Keck, Kolleginnen und Kollegen betreffend höchstnotwendige Unterstützung von Gnadenhöfen und privaten Vereinen, die sich um Tiere in Not kümmern eingebracht im Zuge der Debatte zu TOP 7, Bericht des Budgetausschusses über die Regierungsvorlage : Bundesgesetz über die Bewilligung des Bundesvoran­schlages für das Jahr 2020  samt Anlagen  zur Untergliederung 24 Die Covid 19 – Krise hat durch den rigorosen Lockdown zu großer Not bei Vereinen geführt, die sich um Tiere kümmern, die sonst keine Chance mehr auf ein tierwohlge­rechtes Leben gehabt hätten.
-	x	x	-	x	-	-	65245	2020_05_26	32	FPÖ	Abgeordnete Rosa Ecker, MBA (FPÖ)	False	Durch den Lockdown wird es einen großen Kollateralschaden geben, finanziell und gesundheitlich.
-	#	#+	x	x	o	o	67022	2020_05_29	33	ÖVP	Abgeordneter Andreas Ottenschläger (ÖVP)	True	Der Antragsteller, Herr Kollege Kickl, hat ja bekanntlich – man muss es an dieser Stelle wiederholen – Mitte März selber harte Maßnahmen und einen Lockdown gefordert , und jetzt hinterfragt er das.
o	x	+	x	+	+	+	67024	2020_05_29	33	ÖVP	Abgeordneter Andreas Ottenschläger (ÖVP)	True	Gestern hat ein Simulationsexperte der TU Wien ganz eindeutig dargestellt, dass sich die Zahl der Infizierten vervierfacht hätte, wenn der Lockdown eine Woche später statt­gefunden hätte.
o	x	x	+	x	+	+	67025	2020_05_29	33	ÖVP	Abgeordneter Andreas Ottenschläger (ÖVP)	True	Am 16. März hat in Österreich der Lockdown zur Eindämmung der Coronaviruspandemie begonnen.
-	x	x	x	-	-	-	67074	2020_05_29	33	FPÖ	Abgeordnete Dr. Susanne Fürst (FPÖ)	False	Ich darf Ihnen nur mitteilen, dass es auch in Ihrem Vorbildland Italien schon intensive Diskussionen gibt, wie es dort zu dem Lockdown kam.
-	#	#+	x	x	o	o	67588	2020_05_29	34	ÖVP	Abgeordneter August Wöginger (ÖVP)	True	– Na ja, man muss schon eines sagen: Das ist ja gar nicht so lustig und geht wieder dorthin; Kickl, ihr habt ja - -  – Ihr habt ja alle, auch Kickl, am 13. März den Lockdown gefordert.
o	x	x	x	x	o	o	68403	2020_05_29	34	Grüne	Abgeordneter Hermann Weratschnig, MBA MSc (Grüne)	True	Der Lockdown hat uns genau gezeigt, was es in den Ortschaften in Österreich braucht: Es braucht ein gutes Zusammenspiel, damit wir Frequenz haben, zwischen Vereinen, Gastronomiebetrieben und Institutionen.
o	x	x	x	x	o	o	68429	2020_05_29	34	SPÖ	Abgeordneter Maximilian Köllner, MA (SPÖ)	False	Die Rechnungen für Materialkosten und externe Arbeiten sind fast zeitgleich mit dem Coronalockdown eingetroffen.
o	x	x	x	x	o	o	68438	2020_05_29	34	SPÖ	Abgeordneter Maximilian Köllner, MA (SPÖ)	False	Erlauben Sie mir eine kurze Chronologie: Schon vor dem Lockdown hat es erste Stimmen gegeben, dass der Sport eine Entschädigung braucht.
-	x	x	-	x	o	-	70827	2020_05_29	34	SPÖ	Abgeordnete Petra Wimmer (SPÖ)	False	Kinder haben Rechte, diese sind in den letzten Wochen des Lockdowns kaum zur Sprache gekommen.
-	#	+#+	x	x	+	+	71670	2020_05_29	34	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	Weil von einigen, wie etwa von Kollegen Wurm – jetzt habe ich quasi meinen Sparring­partner in der Diskussion gefunden; ich muss nur ein bisschen an die anderen denken, das ist, glaube ich, besser –, immer wieder darüber diskutiert wurde, ob es notwendig gewesen ist, diesen Lockdown zu machen – abgesehen davon, dass die Freiheitliche Partei da am Beginn etwas Richtiges gefordert hat, nämlich ebendiesen Lockdown –: Der war richtig, der war notwendig.
+	x	x	x	+	+	+	71676	2020_05_29	34	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	Das macht er ganz ausgezeichnet, er hat de facto die Entwick­lungen immer getroffen, sagt uns zehn Tage im Vorhinein, wie die Auslastungszahlen in Österreich sein werden – das ist ganz wichtig, damit die Spitäler planen können –, und jetzt hat er dahin gehend eine Modellierung durchgeführt , ob es der richtige Zeitpunkt war, an dem wir diesen Lockdown realisiert haben.
-	x	x	x	-	o	-	73149	2020_06_17	36	SPÖ	Abgeordneter Rudolf Silvan (SPÖ)	False	Auch viele Polizistinnen und Polizisten waren aufgrund der unklaren Kommunikation und der unklaren Verordnungen der Meinung, dass private Besuche während des Lock­downs verboten waren.
o	x	x	x	-	o	-	74076	2020_06_17	36	SPÖ	Abgeordnete Mag. Ruth Becher (SPÖ)	False	Den Kulturschaffenden und den Beschäftigten in diesem Bereichen gebührt natürlich auch eine entsprechende Unterstützung, schließlich war der von der Bundesregierung verordnete Lockdown nicht absehbar.
-	x	x	-	x	-	-	74556	2020_06_17	36	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Es ist jetzt ungefähr drei Monate her, da hat diese Bundesregierung der Republik Österreich einen Lockdown verordnet – einen Lockdown, der zu fürchterlichen wirtschaftlichen Folgen geführt hat.
-	x	x	x	-	o	-	74565	2020_06_17	36	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Es gibt viele Länder, die gesundheitlich besser durchgekommen sind, aber auch sehr viele, nämlich die meisten, denen es wirtschaftlich besser geht als Österreich, und nicht, weil sie dort vielleicht keinen Lockdown hatten.
o	x	x	x	x	o	o	74597	2020_06_17	36	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Da gab es einen Lockdown, der hier einstimmig beschlos­sen worden ist.
-	x	x	x	-	-	-	74601	2020_06_17	36	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Wir haben den Lockdown, wir haben das Herunterfahren zur Kenntnis genom­men, und der Herr Bundeskanzler hat sich überhaupt nicht hinterfragt.
-	#	#-	x	x	o	o	74902	2020_06_17	36	ÖVP	Abgeordneter August Wöginger (ÖVP)	True	Zum Zweiten: Sie kritisieren nach wie vor den Lockdown.
