sentence sentiment	Spricht über eine fremde Meinung (innerhalb des Parlaments). Speaks about somebody else’s opinion (of speakers of the parliament or political parties. Does not include opinions of external sources, e.g. experts)	Spricht sich explizit für/gegen einen Lockdown aus	Spricht sich explizit positiv/negativ über die Auswirkungen eines Lockdowns aus	Spricht sich positiv/negativ über die Gestaltung/Umsetzung/Organisation eines Lockdowns aus (wenn es um Vorschläge geht ist das mit einem s gekennzeichnet (suggestion))	Subjective Judgement of Overall Opinion (for/against) Lockdown	Subjective Overall Opinion for/against Lockdown (aggressive judgement)							
-	#	#+	x	#-	o	+	42674	2020_04_28	27	ÖVP	Abgeordneter Mag. Ernst Gödl (ÖVP)	True	erinnere nochmals eindrücklich   lässt Protokoll nachlesen   gewisser Herr Klub­obmann Kickl 20.   März ans Podium gestellt Regierung gegeißelt sofortiger gesamter Lockdown   Grenzschließun­gen   durchgeführt 
-	##	+#+##+	x	-/+s	+	+	43113	2020_04_28	27	FPÖ	Abgeordneter Michael Schnedlitz (FPÖ)	False	vorher Folgendes klarstellen sa­gen Herr Kickl Lockdown gefordert fordere Gegenteil Herr Kickl Freiheitliche Partei Lockdown gefordert betreffend Bevölkerung Grenzen betrifft Flughafen betrifft schwarzen Freunderl Tirol betrifft Bevölkerung verlassen 
-	#	#+	x	x	o	+	43261	2020_04_28	27	ÖVP	Abgeordneter Mag. Michael Hammer	True	Medien misstraut Kollegen Freiheitlichen Partei herinnen   sachliche Debatten soziale Maßnahmen unse­re Familien anscheinend üblich Debatte teilnimmt einbringt   einfach OTS Freiheitlichen Parlamentsklubs 13.   März zitieren Coronavirus Kickl Lock­down Österreichs 
o	#	#+	x	x	o	o	43263	2020_04_28	27	ÖVP	Abgeordneter Mag. Michael Hammer	True	schlage FPÖ Lockdown 
o	#	#+	x	x	o	o	43266	2020_04_28	27	ÖVP	Abgeordneter Mag. Michael Hammer	True	Freiheitlichen 13.   März vorgeschlagen Lockdown Österreich 
o	x	-	x	x	-	-	43973	2020_04_28	27	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	Normalität Lockdown kannten geschätzt 
o	x	-	x	x	-	-	43975	2020_04_28	27	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	heraus Lockdown 
+	x	-	x	x	-	-	43993	2020_04_28	27	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	Beitrag Lockdown herauskommen 
-	x	x	x	-	-	-	44061	2020_04_28	27	FPÖ	Abgeordneter Mag. Gerhard Kaniak (FPÖ)	False	Umso unbegreiflicher Anträge Normalisierung Beendigung Lockdowns Gesundheitswesen   Gesund­heitsausschuss abgelehnt 
o	#	#+	x	x	o	o	44317	2020_04_28	27	FPÖ	Abgeordneter Peter Wurm (FPÖ)	False	Abschluss Italien Italien Woche Ös­terreich Lockdown wesentlich strengeren Maßnahmen Bevölkerung durchgezogen 
-	x	x	x	x	o	o	44688	2020_04_28	27	SPÖ	Abgeordnete Katharina Kucharowits (SPÖ)	False	Wochen Republik Lockdownmodus gegangen 
-	x	x	x	-	o	-	45108	2020_04_28	27	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	nämlich Lockdowns genützt Phase Öffnung Daten substanziell begleiten 
-	x	x	-	-	-	-	45685	2020_04_28	27	FPÖ	Abgeordnete Dr. Susanne Fürst (FPÖ)	False	Vielfalt Meinungen Anfang März systematisch letztlich Iden März wirtschaftliche soziale Shutdown beschlossen Lockdown Meinungsfreiheit Wissenschaftsfreiheit 
-	x	x	-	-	-	-	45689	2020_04_28	27	FPÖ	Abgeordnete Dr. Susanne Fürst (FPÖ)	False	sagen Beste stur Zahl Co­ronatoten schauen Opfer Lockdowns denken Bilanz Tote 
-	x	#+	x	x	o	o	45726	2020_04_28	27	ÖVP	Abgeordnete Eva-Maria Himmelbauer, BSc (ÖVP)	True	FPÖ 13.3.– online nachlesen   Lockdown eingefordert massive Maßnahmen 
o	#	#+	+	x	o	+	48188	2020_05_13	30	ÖVP	Abgeordneter August Wöginger (ÖVP)	True	Anfang   betonen   Kickl 13.   März Lockdown gefordert Rendi-Wagner März Pult Mitte April 30   000er-Marke Infizierten überschreiten wären Kapazitäts­grenzen sozusagen erreicht Spitäler Intensivbetten anbelangt 
-	#	#+	x	#-	o	o	48325	2020_05_13	30	Grüne	Abgeordnete Sigrid Maurer, BA (Grüne)	True	erinnere Lockdown scharf 
-	x	x	-	x	-	-	49209	2020_05_13	30	FPÖ	Abgeordneter Mag. Gerhard Kaniak (FPÖ)	False	unterschiedliche Sicht Dinge Gesundheitskrise besteht liegt bestehenden Gefahr Coronavirus aktuellen Infektionsfälle Krise unserem Gesundheitssystem besteht Monate Lockdown unserem Gesundheitssystem Österreicher Österreicherinnen reguläre Gesund­heitsversorgung 
-	x	x	-	x	-	-	49210	2020_05_13	30	FPÖ	Abgeordneter Mag. Gerhard Kaniak (FPÖ)	False	Folgeschäden Maßnahmen Lockdown Gesundheitssystems Österreicher Österreiche­rinnen entstehen Vielfaches höher Coronavirus angestellt geehrten Damen Herren 
-	x	x	o	x	-	-	49818	2020_05_26	32	SPÖ	Abgeordnete Dr. Pamela Rendi-Wagner, MSc (SPÖ)	False	Corona bestimmt Leben sozialen wirtschaftlichen Folgen Lockdowns unübersehbar 
-	x	x	-	x	-	-	50482	2020_05_26	32	SPÖ	Abgeordneter Dr. Christoph Matznetter (SPÖ)	False	Antrag folgenden Gesamtwortlaut Abgeordneten Pamela Rendi-Wagner Christoph Matznetter Genossinnen Genossen Eingebracht Zuge Debatte TOP 1 Bericht Budgetausschusses Regierungsvorlage Bundesgesetz Ausländerbeschäftigungsge­setz Arbeitsmarktpolitik-Finanzierungsgesetz Insolvenz-Entgeltsicherungsge­setz Bauarbeiter-Schlechtwetterentschädigungsgesetz Bauarbeiter-Urlaubs- Abfertigungsgesetz Familienlastenausgleichsgesetz 1967 Beamten-Dienstrechtsgesetz 1979 Gehaltsgesetz 1956 Umweltförderungsgesetz geändert    Betreffend Österreich braucht größte Investitions- Beschäftigungspaket Geschichte Republik Ausgangslage Lockdown soziale wirtschaftliche Krise ausgelöst beispielhaft Republik 
-	x	x	x	-	o	-	50595	2020_05_26	32	FPÖ	Abgeordnete Dr. Susanne Fürst (FPÖ)	False	Kauf genommen Lockdown Beschränkungen plötzliche Machtfülle Bundesregierung alleinige Meinungshoheit Eigenlob fortzusetzen Normalität retten 
+	x	x	-	x	o	-	51103	2020_05_26	32	FPÖ	Abgeordneter Mag. Gerhard Kaniak (FPÖ)	False	gezeigt Einhalten einfacher Hygienemaßnahmen Disziplin österreichischen Bevölkerung Infektionsraten Lockdown deutlich zurückgegangen 
-	x	x	x	-	o	-	51143	2020_05_26	32	SPÖ	Abgeordneter Maximilian Köllner, MA (SPÖ)	False	gestern Fitnessstudiobetreiber Region gesprochen Lockdown Mitte März Hantel geschwungen dennoch Mal Minizahlung erhalten irgendet­was bekommen 
-	x	x	-	x	o	-	51369	2020_05_26	32	SPÖ	Abgeordneter Dr. Christoph Matznetter (SPÖ)	False	Einnahmenentfall Be­ginn Lockdowns   nämlich   Budgetänderung verwechselt 
+	x	x	x	+	o	+	52821	2020_05_26	32	ÖVP	Bundeskanzler Sebastian Kurz	True	geehrte Damen Herren froh Phase Lockdowns schneller Phase Öffnung 
+	x	+	+	+	+	+	53682	2020_05_26	32	ÖVP	Abgeordnete Mag. Dr. Maria Theresia Niss, MBA (ÖVP)	True	Entscheidungsstärke Regierung rascher Lockdown gegangen Folge klar Coronainfizierte Todesfälle 
+	x	x	x	+	o	+	53685	2020_05_26	32	ÖVP	Abgeordnete Mag. Dr. Maria Theresia Niss, MBA (ÖVP)	True	rasche konsequente Maßnahmen Anfang nämlich führend Lockdown rasch herauszukommen 
-	x	x	x	-	o	-	53852	2020_05_26	32	SPÖ	Abgeordneter Maximilian Lercher (SPÖ)	False	Lockdown wichtigsten Phase Unsicherheit begonnen Wirtschaft Österreich signalisiert Staat verlas­sen 
+	x	x	-	x	o	-	55123	2020_05_26	32	SPÖ	Abgeordneter Dr. Harald Troch (SPÖ)	False	Wochen coronabedingtem Lockdown Shutdown We­ge Normalisierung 
-	x	x	x	-	o	-	55145	2020_05_26	32	SPÖ	Abgeordneter Dr. Harald Troch (SPÖ)	False	Leute merken Angstmacherei unnötiger Angstmacherei Umfragewerte Herr Bundeskanzler Lockdown erleben 
-	x	x	-	x	-	-	55235	2020_05_26	32	SPÖ	Abgeordnete Petra Bayr, MA MLS (SPÖ)	False	österreichische Hilfsorganisationen warnen sozialen wirtschaftlichen Folgen Lockdowns afrikanische Staaten Caritas Österreich humanitäre Katastrophe befürchtet u.a. steigenden Preise Pandemie 
+	x	x	x	x	o	o	55348	2020_05_26	32	NEOS	Abgeordneter Dr. Helmut Brandstätter (NEOS)	False	Journalist Außenstellen betreut gefühlt letzten Reise Tirana Lockdown   dortigen Botschafter Steiner dankbar Hilfe   merkt Leute international draufhaben 
+	x	x	x	x	o	o	55390	2020_05_26	32	ÖVP	Bundesminister für Europa, Integration und Äußeres Mag. Alexander Schallen­berg, LL.M.	True	geehrten Damen Herren Wirklichkeit Außenminis­terium Lockdown Wahrheit Anfang Jahres konstant Krisenbewältigungsmodus Jahreswechsel massiven Angriff Cyberinfrastruktur Außenministeriums schnellen Handelns Erkennens Anstrengungen abwehren 
+	x	x	x	+	o	+	55403	2020_05_26	32	ÖVP	Bundesminister für Europa, Integration und Äußeres Mag. Alexander Schallen­berg, LL.M.	True	letzten Endes nämlich Botschaften Lima Kuala Lumpur Canberra Peking Rückholaktion organisiert gesorgt Bürger Hotels Quartiere verlassen Flughafen obwohl lokal strengster Lockdown herrschte Höhepunkt Krise gesorgt Landegenehmigungen Exportgenehmigungen dringend benötigtes medizinisches Material Österreich bringen 
+	x	x	x	+	o	+	58137	2020_05_26	32	ÖVP	Abgeordneter Joachim Schnabel (ÖVP)	True	Ein-Milliarden-Euro-Paket ermöglicht Gemeinden Lock­downs Planungssicherheit Zukunft investieren 
-	x	x	-	x	o	-	60807	2020_05_26	32	ÖVP	Abgeordneter Franz Hörl (ÖVP)	True	31   Millionen Nächtigungen Monaten Österreich aufholen Lockdown eingetretene Scha­den liegt 2   Milliarden Euro 
-	x	x	-	+	o	-	60932	2020_05_26	32	ÖVP	Abgeordnete MMMag. Gertraud Salzmann (ÖVP)	True	Wochen schwierige Zeiten Gastronomie Hotellerie Shutdown Lockdown Branche einschneidend Bundesregierung beherzt wesentliche Maßnahmen getroffen 
-	x	x	-	-	o	-	62495	2020_05_26	32	ÖVP	Bundesministerin für Frauen und Integration im Bundeskanzleramt MMag. Dr. Su­sanne Raab	True	italienischen Amtskollegin Beginn Ausgangbeschränkungen gesprochen Erfahrungen berichtet Italien Lockdowns geglaubt Unterstützungseinrichtungen   analog ande­ren infrastrukturellen Einrichtungen   Frauen gewusst wenden Unterstützung Hilfe brau­chen 
-	x	x	x	x	o	o	63451	2020_05_26	32	ÖVP	Abgeordnete Dr. Gudrun Kugler (ÖVP)	True	Familie Lockdown aufgefangen dennoch Eindruck politischen Diskussion Familie negativen Kontext gerückt Armutsfalle Überlastung Gewalt 
o	x	x	o	x	o	o	63459	2020_05_26	32	ÖVP	Abgeordnete Dr. Gudrun Kugler (ÖVP)	True	Laut Zahlen Frauenministerin genannt Krise Jänner 936   Fälle April Monat Lockdown 1   075. 
-	x	x	-	x	o	-	63542	2020_05_26	32	SPÖ	Abgeordnete Eva Maria Holzleitner, BSc (SPÖ)	False	Lockdowns Kinderrechte massiv eingeschränkt 
-	x	x	-	x	-	-	64955	2020_05_26	32	FPÖ	Abgeordneter Mag. Gerhard Kaniak (FPÖ)	False	rede möglicherweise erforderlichen Kostendeckungen Sozialversicherungen Krankenkassen rede zusätzlichen Kosten Behandlungsrückstau Lockdown Ge­sundheitswesen passiert spreche notwendigen Inves­titionsanreizen Gesundheitssystem umformen nächste Krise bestanden rede Kosten Absicherung Arzneimittelversorgung Versorgung Medizinprodukten notwendig 
-	x	x	-	x	o	-	65177	2020_05_26	32	SPÖ	Abgeordneter Dietmar Keck (SPÖ)	False	Antrag folgenden Gesamtwortlaut Abgeordneten Dietmar   Keck Kolleginnen Kollegen betreffend höchstnotwendige Unterstützung Gnadenhöfen privaten Vereinen Tiere Not kümmern eingebracht Zuge Debatte TOP 7 Bericht Budgetausschusses Regierungsvorlage Bundesgesetz Bewilligung Bundesvoran­schlages 2020   samt Anlagen   Untergliederung 24 Covid 19 Krise rigorosen Lockdown Not Vereinen geführt Tiere kümmern Chance tierwohlge­rechtes Leben 
-	x	x	-	x	-	-	65245	2020_05_26	32	FPÖ	Abgeordnete Rosa Ecker, MBA (FPÖ)	False	Lockdown Kollateralschaden geben finanziell gesundheitlich 
-	#	#+	x	x	o	o	67022	2020_05_29	33	ÖVP	Abgeordneter Andreas Ottenschläger (ÖVP)	True	Antragsteller Herr Kollege Kickl bekanntlich   Stelle wiederholen   Mitte März selber harte Maßnahmen Lockdown gefordert hinterfragt 
o	x	+	x	+	+	+	67024	2020_05_29	33	ÖVP	Abgeordneter Andreas Ottenschläger (ÖVP)	True	Gestern Simulationsexperte TU Wien eindeutig dargestellt Zahl Infizierten vervierfacht Lockdown Woche statt­gefunden 
o	x	x	+	x	+	+	67025	2020_05_29	33	ÖVP	Abgeordneter Andreas Ottenschläger (ÖVP)	True	16.   März Österreich Lockdown Eindämmung Coronaviruspandemie begonnen 
-	x	x	x	-	-	-	67074	2020_05_29	33	FPÖ	Abgeordnete Dr. Susanne Fürst (FPÖ)	False	mitteilen Vorbildland Italien intensive Diskussionen Lockdown 
-	#	#+	x	x	o	o	67588	2020_05_29	34	ÖVP	Abgeordneter August Wöginger (ÖVP)	True	sagen lustig dorthin Kickl       Kickl 13.   März Lockdown gefordert 
o	x	x	x	x	o	o	68403	2020_05_29	34	Grüne	Abgeordneter Hermann Weratschnig, MBA MSc (Grüne)	True	Lockdown genau gezeigt Ortschaften Österreich braucht braucht Zusammenspiel Frequenz Vereinen Gastronomiebetrieben Institutionen 
o	x	x	x	x	o	o	68429	2020_05_29	34	SPÖ	Abgeordneter Maximilian Köllner, MA (SPÖ)	False	Rechnungen Materialkosten externe Arbeiten fast zeitgleich Coronalockdown eingetroffen 
o	x	x	x	x	o	o	68438	2020_05_29	34	SPÖ	Abgeordneter Maximilian Köllner, MA (SPÖ)	False	Erlauben kurze Chronologie Lockdown Stimmen gegeben Sport Entschädigung braucht 
-	x	x	-	x	o	-	70827	2020_05_29	34	SPÖ	Abgeordnete Petra Wimmer (SPÖ)	False	Kinder letzten Wochen Lockdowns Sprache gekommen 
-	#	+#+	x	x	+	+	71670	2020_05_29	34	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	Kollegen Wurm   quasi Sparring­partner Diskussion gefunden bisschen denken glaube   diskutiert notwendig Lockdown   abgesehen Freiheitliche Partei Beginn Richtiges gefordert nämlich ebendiesen Lockdown   notwendig 
+	x	x	x	+	+	+	71676	2020_05_29	34	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	ausgezeichnet de facto Entwick­lungen getroffen Vorhinein Auslastungszahlen Österreich   wichtig Spitäler planen   gehend Modellierung durchgeführt richtige Zeitpunkt Lockdown realisiert 
-	x	x	x	-	o	-	73149	2020_06_17	36	SPÖ	Abgeordneter Rudolf Silvan (SPÖ)	False	Polizistinnen Polizisten aufgrund unklaren Kommunikation unklaren Verordnungen Meinung private Besuche Lock­downs verboten 
o	x	x	x	-	o	-	74076	2020_06_17	36	SPÖ	Abgeordnete Mag. Ruth Becher (SPÖ)	False	Kulturschaffenden Beschäftigten Bereichen gebührt entsprechende Unterstützung schließlich Bundesregierung verordnete Lockdown absehbar 
-	x	x	-	x	-	-	74556	2020_06_17	36	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	ungefähr Monate Bundesregierung Republik Österreich Lockdown verordnet   Lockdown fürchterlichen wirtschaftlichen Folgen geführt 
-	x	x	x	-	o	-	74565	2020_06_17	36	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Länder gesundheitlich durchgekommen nämlich meisten wirtschaftlich Österreich Lockdown 
o	x	x	x	x	o	o	74597	2020_06_17	36	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Lockdown einstimmig beschlos­sen 
-	x	x	x	-	-	-	74601	2020_06_17	36	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Lockdown Herunterfahren Kenntnis genom­men Herr Bundeskanzler hinterfragt 
-	#	#-	x	x	o	o	74902	2020_06_17	36	ÖVP	Abgeordneter August Wöginger (ÖVP)	True	kritisieren Lockdown 
o	#	#+	x	x	o	o	74905	2020_06_17	36	ÖVP	Abgeordneter August Wöginger (ÖVP)	True	Klubobmann Kickl 13.   März Jahres völligen Lockdown Österreich eingefordert 
o	x	x	x	x	o	o	75380	2020_06_17	36	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	Fangen angefangen   Coronalockdown 
o	#	+#+	x	x	+	+	75385	2020_06_17	36	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	Lockdown Spaß Jux Tollerei   selber gefordert eh öfters gehört   einfach notwendig 
-	##	##+	x	x	o	-	75475	2020_06_17	36	FPÖ	Abgeordneter Mag. Hannes Amesbauer, BA (FPÖ)	False	zurechtrücken seitens ÖVP verzapft   Beginn Debatte Klubobmann Wöginger Kollege Pöttinger angeführt angeblichen Zickzackkurs FPÖ kritisiert wären totalen Lockdown Österreichs gefordert 
-	x	x	-	-	o	-	75533	2020_06_17	36	FPÖ	Abgeordneter Mag. Hannes Amesbauer, BA (FPÖ)	False	Bedenkt Umsatzrückgang Österreichs Gastronomie Corona-Lockdowns täglich ca 60 Millionen Euro betrug laut Experten aufholbar stellt Frage 2.000 Euro Regierung beisteuern gleichzeitig hohen Lehrlingskosten eingebrochenem Umsatz tatsächlich helfen 
-	x	x	-	x	o	-	75825	2020_06_17	36	SPÖ	Abgeordneter Dietmar Keck (SPÖ)	False	Ausgangslage Lockdown soziale wirtschaftliche Krise ausgelöst beispielhaft Republik 
-	x	x	-	x	o	-	77704	2020_06_17	36	ÖVP	Abgeordnete Dipl.-Kffr. (FH) Elisabeth Pfurtscheller (ÖVP)	True	Zahlen China Italien   Länder Lockdown entschließen   ließen befürchten Österreich Zahl Über­griffe Frauen häuslichen Bereich Privatbereich erhöhen 
-	x	x	-	x	o	-	77705	2020_06_17	36	ÖVP	Abgeordnete Dipl.-Kffr. (FH) Elisabeth Pfurtscheller (ÖVP)	True	Aufgrund Stresses Paare Familien Lockdown Kurzarbeit Arbeitslosigkeit Homeschooling standen erwarten vermehrt Gewalteskalationen 
+	x	x	x	x	o	o	77713	2020_06_17	36	ÖVP	Abgeordnete Dipl.-Kffr. (FH) Elisabeth Pfurtscheller (ÖVP)	True	Lockdown mittlerweile beendet kehren Schritt Schritt Nor­malität 
+	x	x	x	+	o	+	78001	2020_06_17	36	ÖVP	Abgeordneter Norbert Sieber (ÖVP)	True	Notwendigkeit überzeugt dankbar Coronakrise Lockdowns 2   Millionen Euro Sensibilisierungs­kampagne bereitgestellt 
-	x	x	x	-	o	-	78021	2020_06_17	36	NEOS	Abgeordnete Henrike Brandstötter (NEOS)	False	Seite sagen Lockdown beendet Normalität kehrt gleichzeitig Teilnahme europäischen Zeitverwendungsstudie abgelehnt   hey 
-	x	x	-	x	o	-	78068	2020_06_17	36	ohne Klubzugehörigkeit	Abgeordnete Pia Philippa Strache (ohne Klubzugehörigkeit)	False	Lasten Coronakrise bewältigbar langsam sicher wirtschaftlichen Konsequenzen Gedanken psychologischen Konsequenzen Lockdowns Konsequenzen Zukunft Leben Frauen Land stark be­treffen 
+	x	x	+	+	+	+	78695	2020_06_18	38	ÖVP	Abgeordnete Gabriela Schwarz (ÖVP)	True	Länder Österreich konsequent rasch Shutdown Lockdown reagiert unzählige Menschenleben gerettet   steht definitiv fest   lassen lassen Wirtschaft weiterlaufen 
-	x	x	x	-	o	-	78776	2020_06_18	38	SPÖ	Abgeordneter Dr. Christoph Matznetter (SPÖ)	False	März Lockdown geführte Bun­desregierung Mehrheitsfraktion ÖVP Grünen versucht Epidemiegesetz   1950 bestehenden gesetzlichen Anspruch vollen Schadenersatz Verdienstentgang abzuschaffen 
o	x	x	x	-	o	-	78778	2020_06_18	38	SPÖ	Abgeordneter Dr. Christoph Matznetter (SPÖ)	False	Frage Nachbarländer Schweiz Deutsch­land Weg gewählt Schweiz innerhalb Lockdown Geld nachfolgende Überprüfung Steuer ausbezahlt Deutschland Finanzverwaltung erfolgt Effekt sofortigen Zahlung Deutschland Ar­beitslosigkeit geringeren Ausmaß gestiegen Österreich 
o	x	x	x	x	o	o	80457	2020_06_18	38	NEOS	Abgeordneter Dr. Johannes Margreiter (NEOS)	False	Bevölkerung Anfang akzeptiert Zuge Lockdowns angeordnet 
o	x	x	+	+	+	+	81858	2020_06_18	38	SPÖ	Abgeordneter Dr. Christoph Matznetter (SPÖ)	False	Fangen Dingen halbwegs gelaufen Halbwegs gelaufen Pan­demie ausgebrochen   Länder Europäischen Union   paar Wochen Tiefschlaf rechtzeitig Lockdown zusammengebracht so­dass Kapazitäten unseres Gesundheitssystems überschritten 
o	x	x	x	+	+	+	82090	2020_06_18	38	ÖVP	Abgeordnete Mag. Dr. Maria Theresia Niss, MBA (ÖVP)	True	Seite Angebot glaube Österreich Gott schnell Lockdown gegangen schnell Lockdown herausgekommen   tut Angebot wiederherzustellen 
+	x	x	x	x	o	o	82569	2020_06_18	38	SPÖ	Abgeordneter Maximilian Lercher (SPÖ)	False	erinnern Wirtschaftsausschuss zusammengekom­men Lockdown passiert Oppositionsparteien   NEOS FPÖ SPÖ   Einstellung hineingegangen Staat leisten Bürgerinnen Bürger 
-	x	x	x	x	o	o	84327	2020_06_30	40	ÖVP	Abgeordneter Karlheinz Kopf (ÖVP)	True	Lockdown dramatische Maßnahme 
-	x	x	x	x	o	o	84420	2020_06_30	40	SPÖ	Abgeordneter Dr. Christoph Matznetter (SPÖ)	False	Amazon Hauptprofiteur die­sem Lockdown draußen 50   000   Euro spielen geringe Rolle 
-	x	x	+	x	+	+	84741	2020_06_30	40	Grüne	Abgeordnete Barbara Neßler (Grüne)	True	erleben schwe­re Rezession Übrigen Lockdowns weltweiten Pandemie 
+	x	x	+	x	+	+	84912	2020_06_30	40	Grüne	Abgeordnete Mag. Eva Blimlinger (Grüne)	True	Schwierigkeit abzuschätzen schau­en Amazon kleineren österreichischen Unternehmen mittlerweile Onlinehandel   insbesondere Bücher Bereich E-Books Bereich Onlinehandel betrifft   bestens aufgestellt Lockdowns hohe Expertise Varianten entwickelt 
o	x	x	x	x	o	o	86539	2020_07_07	43	ÖVP	Bundesministerin für Landwirtschaft, Regionen und Tourismus Elisabeth Köstinger	True	ha­ben Zeiten Lockdowns Coronakrise gesehen wichtig Produktion flächendeckende Versorgung Lebensmitteln 
